fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.jfree.chart.plot.dial.for,true,false,false,,,,,,false,false,0,0,20,DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.that,true,false,false,,,,,,false,false,0,0,8,DEPENDENCY_TYPES>5
org.jfree.chart.plot.flow.FlowPlot,true,false,false,,,,,,false,false,78,127,70,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.for,true,false,false,,,,,,false,false,45,38,46,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.installed,true,false,false,,,,,,false,false,35,78,39,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.is,true,false,false,,,,,,false,false,17,13,14,DEPENDENCY_TYPES>5
org.jfree.chart.plot.pie.MultiplePiePlot,true,false,false,,,,,,false,false,61,82,71,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.pie.PieLabelRecord,true,false,false,,,,,,false,false,25,25,13,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.pie.PiePlotState,true,false,false,,,,,,false,false,21,10,10,DEPENDENCY_TYPES>5
org.jfree.chart.plot.pie.distributes,true,false,false,,,,,,false,false,20,26,15,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.pie.that,true,false,false,,,,,,false,false,0,0,26,DEPENDENCY_TYPES>5
org.jfree.chart.plot.that,true,false,false,,,,,,false,false,5,0,68,DEPENDENCY_TYPES>5
org.jfree.chart.plot.to,true,false,false,,,,,,false,false,9,0,8,DEPENDENCY_TYPES>5
org.jfree.chart.renderer.AbstractRenderer,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.renderer.DefaultPolarItemRenderer,true,false,true,,,,,,false,false,73,121,63,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.renderer.GrayPaintScale,true,false,false,,,,,,false,false,17,18,17,DEPENDENCY_TYPES>5
org.jfree.chart.renderer.LookupPaintScale,true,false,false,,,,,,false,false,29,39,31,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.renderer.OutlierList,true,false,true,,,,,,false,false,11,9,11,DEPENDENCY_TYPES>5
